station_id,station_name,water_body,opw_catchment_name,rbd,derived_catchment_name,catchment_id,subcatchment_id,subcatchment_name,subcatchment_area_km2,opw_catchment_area_km2,subcatchment_to_true_area_ratio,single_subcatchment_gauge,ambiguous_match,meets_thresholds,status,sentinel_era_span_days,sentinel_era_completeness_pct,sentinel_era_max_gap_days,sentinel_era_quality_ok_pct,sentinel_era_interval_minutes,latitude,longitude,Status,opw_catchment_area,river,usable_for_study,file_format,record_start,record_end,record_span_days,total_rows,sentinel_era_start,sentinel_era_end,sentinel_era_rows,sentinel_era_n_missing_values,quality_code_top5,n_bad_timestamps,declared_rows,parameter,ts_shortname,unit,error,file,subcatchment_area_m2,n_candidate_stations_in_catchment
11001,Boleany,OWENAVORRAGH,OWENAVORRAGH,SOUTH EASTERN RBD,Owenavorragh,11,11_2,Owenavorragh_SC_010,160.77,148.0,1.09,True,False,True,ok,3507.0,98.93,13.4,1.7,15.0,52.64369028,-6.270794167,Level & Flow,148.00 km²,,True,plain_csv,1972-03-13T16:00:00+00:00,2026-08-09T23:30:00+00:00,19872.0,1907743.0,2017-01-01T00:00:00+00:00,2026-08-09T23:30:00+00:00,336767.0,3592.0,31:1770661; 32:59243; -1:56873; 42:8245; 254:5837,0.0,,,,,,wl_11001.csv,160765071.088,1
12007,St. Johns Br,URRIN,SLANEY,SOUTH EASTERN RBD,Urrin,12,12_7,Urrin_SC_010,116.01,115.43,1.01,True,False,True,ok,3507.0,98.93,4.25,2.15,15.0,52.49329083,-6.573358611,Level,115.43 km²,,True,plain_csv,2003-04-15T13:15:00+00:00,2026-08-09T23:30:00+00:00,8517.0,817674.0,2017-01-01T00:00:00+00:00,2026-08-09T23:30:00+00:00,336767.0,3592.0,31:635790; -1:109997; 32:27664; 254:27254; 101:12711,0.0,,,,,,wl_12007.csv,116005380.36999999,3
13070,Lady's Island,LADY'S ISLAND LAKE,COASTAL,SOUTH EASTERN RBD,KISHA,13,13_4,KISHA_SC_010,95.37,0.0,inf,False,False,True,ok,3507.0,98.79,18.72,3.74,15.0,52.21100444,-6.383141111,Level,0.00 km²,,True,plain_csv,1998-11-25T17:00:00+00:00,2026-08-09T23:30:00+00:00,10119.0,971451.0,2017-01-01T00:00:00+00:00,2026-08-09T23:30:00+00:00,336767.0,4077.0,31:614734; -1:148531; 99:124261; 32:41791; 101:20278,0.0,,,,,,wl_13070.csv,95370347.6636,1
14013,Ballinacarrig,BURREN,BARROW,SOUTH EASTERN RBD,Barrow,14,14_13,Barrow_SC_090,189.01,155.0,1.22,True,False,True,ok,3507.0,99.32,7.86,0.6,15.0,52.82426389,-6.898153889,Level & Flow,155.00 km²,,True,plain_csv,1972-01-01T00:00:00+00:00,2026-08-09T23:30:00+00:00,19944.0,1914719.0,2017-01-01T00:00:00+00:00,2026-08-09T23:30:00+00:00,336767.0,2302.0,31:1777574; -1:91951; 32:31966; 101:11217; 254:2008,0.0,,,,,,wl_14013.csv,189011739.358,16
15007,Kilbricken,NORE,BARROW,SOUTH EASTERN RBD,Nore,15,15_16,Nore_SC_050,170.69,339.76,0.5,False,False,True,ok,3507.0,99.93,0.21,1.66,15.0,52.95925167,-7.461605556,Level & Historic Flow,339.76 km²,,True,plain_csv,1972-01-01T00:00:00+00:00,2026-08-09T23:30:00+00:00,19944.0,1914719.0,2017-01-01T00:00:00+00:00,2026-08-09T23:30:00+00:00,336767.0,241.0,31:1590581; 32:173988; 101:67650; 254:64094; -1:12149,0.0,,,,,,wl_15007.csv,170694124.007,12
16005,Aughnagross,MULTEEN,SUIR,SOUTH EASTERN RBD,Multeen[East],16,16_4,Multeen[East]_SC_010,83.26,87.0,0.96,True,False,True,ok,3507.0,99.67,5.88,1.9,15.0,52.52349611,-8.014062778,Level & Flow,87.00 km²,,True,plain_csv,1954-10-01T00:00:00+00:00,2026-08-09T23:30:00+00:00,26245.0,2519615.0,2017-01-01T00:00:00+00:00,2026-08-09T23:30:00+00:00,336767.0,1114.0,31:1693190; 32:633499; 254:95605; 99:64368; -1:24414,0.0,,,,,,wl_16005.csv,83262550.4849,20
18113,Ahane Br,OWENTARAGLIN,BLACKWATER [MUNSTER],SOUTH WESTERN RBD,Blackwater[Munster],18,18_6,Blackwater[Munster]_SC_020,86.11,76.82,1.12,True,False,True,ok,3507.0,99.99,0.06,7.31,15.0,52.09607583,-9.132805278,Level & Historic Flow,76.82 km²,,True,plain_csv,2006-06-19T00:15:00+00:00,2026-08-09T23:30:00+00:00,7356.0,706270.0,2017-01-01T00:00:00+00:00,2026-08-09T23:30:00+00:00,336767.0,29.0,31:633672; 254:34822; 41:15923; -1:12810; 101:8660,0.0,,,,,,wl_18113.csv,86106846.3727,23
19103,Ovens Bridge,Bride (Cork),LEE,SOUTH EASTERN RBD,Lee[Cork],19,19_9,Lee[Cork]_SC_050,133.84,117.82,1.14,True,False,True,ok,2582.0,99.96,0.1,13.55,15.0,51.880537,-8.654934,Level & Flow,117.82 km²,,True,plain_csv,2019-07-15T14:15:00+00:00,2026-08-09T23:30:00+00:00,2582.0,247910.0,2019-07-15T14:15:00+00:00,2026-08-09T23:30:00+00:00,247910.0,108.0,31:206661; 254:33600; 101:7541; -1:108,0.0,,,,,,wl_19103.csv,133836499.468,24
20015,Ardcahan Br,BANDON,BANDON,SOUTH WESTERN RBD,Bandon,20,20_6,Bandon_SC_010,102.92,97.08,1.06,True,False,True,ok,3507.0,99.71,8.98,4.29,15.0,51.74913611,-9.097986667,Level & Historic Flow,97.08 km²,,True,plain_csv,1990-05-22T15:30:00+00:00,2026-08-09T23:30:00+00:00,13228.0,1269921.0,2017-01-01T00:00:00+00:00,2026-08-09T23:30:00+00:00,336767.0,989.0,31:1022806; 99:62577; 32:47192; 101:46949; -1:34741,0.0,,,,,,wl_20015.csv,102917317.489,5
21020,Bridge Street,Finnihy,INNY,SOUTH WESTERN RBD,Finnihy,21,21_13,Finnihy_SC_010,60.07,31.47,1.91,False,False,True,ok,2145.0,99.93,0.06,8.18,15.0,51.88108,-9.58579,Level & Historic Flow,31.47 km²,,True,plain_csv,2020-09-24T00:00:00+00:00,2026-08-09T22:30:00+00:00,2145.0,206011.0,2020-09-24T00:00:00+00:00,2026-08-09T22:30:00+00:00,206011.0,150.0,31:155729; 32:31465; 254:16849; 42:1818; -1:150,0.0,,,,,,wl_21020.csv,60069455.128,3
22009,White Br,DEENAGH ( LAUNE),LAUNE,SOUTH WESTERN RBD,Deenagh,22,22_1,Deenagh_SC_010,30.46,35.4,0.86,True,False,True,ok,3507.0,99.73,8.0,10.0,15.0,52.05492056,-9.527219167,Level & Flow,35.40 km²,,True,plain_csv,1982-01-11T13:15:00+00:00,2026-08-09T23:30:00+00:00,16281.0,1563018.0,2017-01-01T00:00:00+00:00,2026-08-09T23:30:00+00:00,336767.0,909.0,31:1463068; -1:61755; 254:35869; 32:1407; 101:915,0.0,,,,,,wl_22009.csv,30462295.8646,6
23052,Athea U/S,GALEY,FEALE,SHANNON RBD,Galey,23,23_3,Galey_SC_010,124.15,36.3,3.42,False,False,True,ok,1920.0,99.98,0.17,10.85,15.0,52.460679,-9.286718,Level & Flow,36.30 km²,,True,plain_csv,2021-05-07T00:00:00+00:00,2026-08-09T23:30:00+00:00,1920.0,184415.0,2021-05-07T00:00:00+00:00,2026-08-09T23:30:00+00:00,184415.0,31.0,31:164375; 254:20009; -1:31,0.0,,,,,,wl_23052.csv,124150000.0,13
24005,Athlacca,MORNINGSTAR,MAIGUE,SHANNON RBD,Maigue,24,24_17,Maigue_SC_030,96.28,131.95,0.73,True,False,True,ok,3507.0,99.54,1.85,5.79,15.0,52.45876611,-8.651165833,Level & Flow,131.95 km²,,True,plain_csv,1972-10-01T00:00:00+00:00,2026-08-09T23:30:00+00:00,19670.0,1888415.0,2017-01-01T00:00:00+00:00,2026-08-09T23:30:00+00:00,336767.0,1544.0,31:1659775; -1:202911; 254:25684; 32:45,0.0,,,,,,wl_24005.csv,96283140.649,14
25016,Rahan (Clodiagh),CLODIAGH,SHANNON,SHANNON RBD,BROSNA,25A,25A_5,BROSNA_SC_040,74.71,253.78,0.29,False,False,True,ok,3507.0,99.66,4.02,1.32,15.0,53.28079861,-7.615675556,Level & Flow,253.78 km²,,True,plain_csv,1951-10-01T00:00:00+00:00,2026-08-09T23:30:00+00:00,27341.0,2624831.0,2017-01-01T00:00:00+00:00,2026-08-09T23:30:00+00:00,336767.0,1136.0,31:2053374; 41:348003; -1:138058; 254:34050; 32:25057,0.0,,,,,,wl_25016.csv,74707396.3992,9
25022,Syngefield,CAMCOR,Shannon,SHANNON RBD,Camcor,25B,25B_3,Camcor_SC_010,152.53,160.0,0.95,True,False,True,ok,3507.0,98.69,22.12,1.83,15.0,53.09280472,-7.881580278,Level & Flow,160.00 km²,,True,plain_csv,1953-09-23T15:00:00+00:00,2026-08-09T23:30:00+00:00,26618.0,2555363.0,2017-01-01T00:00:00+00:00,2026-08-09T23:30:00+00:00,336767.0,4427.0,31:1732222; 41:694199; -1:90629; 32:17859; 101:14280,0.0,,,,,,wl_25022.csv,152531950.191,10
