station_id,station_name,water_body,opw_catchment_name,rbd,derived_catchment_name,catchment_id,subcatchment_id,subcatchment_name,subcatchment_area_km2,opw_catchment_area_km2,subcatchment_to_true_area_ratio,single_subcatchment_gauge,ambiguous_match,meets_thresholds,status,sentinel_era_span_days,sentinel_era_completeness_pct,sentinel_era_max_gap_days,sentinel_era_quality_ok_pct,sentinel_era_interval_minutes,latitude,longitude,Status,opw_catchment_area,river,usable_for_study,file_format,record_start,record_end,record_span_days,total_rows,sentinel_era_start,sentinel_era_end,sentinel_era_rows,sentinel_era_n_missing_values,quality_code_top5,n_bad_timestamps,declared_rows,parameter,ts_shortname,unit,error,file,subcatchment_area_m2
1043,Ballybofey,FINN [Donegal],FINN,NORTH WESTERN RBD,Finn[Donegal],01,01_2,Finn[Donegal]_SC_030,99.32,319.0,0.31,False,False,False,,,,,,,54.79976861,-7.790749444,Level & Flow,319.00 km²,,,,,,,,,,,,,,,,,,,,99319553.99260001
1041,Sandy Mills,DEELE,DEELE,NORTH WESTERN RBD,Deele[Donegal],01,01_6,Deele[Donegal]_SC_010,133.33,113.0,1.18,True,False,False,,,,,,,54.83831806,-7.575758056,Level & Flow,113.00 km²,,,,,,,,,,,,,,,,,,,,133325532.78000002
3058,Cappog Br,BLACKWATER [MONAGHAN],BLACKWATER [MONAGHAN],NEAGH BANN RBD,Blackwater[Monaghan],03,03_6,Blackwater[Monaghan]_SC_010,123.2,65.0,1.9,False,False,False,,,,,,,54.26680861,-7.021296944,Level & Flow,65.00 km²,,,,,,,,,,,,,,,,,,,,123195962.731
3055,Glaslough,MOUNTAIN WATER,BLACKWATER [MONAGHAN],NEAGH BANN RBD,Mountain[Water],03,03_2,Mountain[Water]_SC_010,73.37,72.0,1.02,True,False,False,,,,,,,54.32328083,-6.894343889,Level & Flow,72.00 km²,,,,,,,,,,,,,,,,,,,,73368755.1961
6026,Aclint,LAGAN (GLYDE),GLYDE,NEAGH BANN RBD,Glyde,06,06_5,Glyde_SC_020,113.14,144.0,0.79,True,False,False,,,,,,,53.92476528,-6.640019444,Level & Historic Flow,144.00 km²,,,,,,,,,,,,,,,,,,,,113136045.79900001
6025,Burley,DEE,DEE,NEAGH BANN RBD,Dee,06,06_1,Dee_SC_020,66.25,175.98,0.38,False,False,False,,,,,,,53.8480375,-6.594340833,Level & Historic Flow,175.98 km²,,,,,,,,,,,,,,,,,,,,66254794.3181
6013,Charleville Weir,DEE,DEE,NEAGH BANN RBD,Dee,06,06_15,Dee_SC_040,105.36,307.0,0.34,False,False,False,,,,,,,53.85584278,-6.413995833,Level & Flow,307.00 km²,,,,,,,,,,,,,,,,,,,,105360473.561
6012,Clarebane,FANE,FANE,NEAGH BANN RBD,FANE,06,06_8,FANE_SC_010,180.93,163.0,1.11,True,False,False,,,,,,,54.09285639,-6.666055833,Level & Flow,163.00 km²,,,,,,,,,,,,,,,,,,,,180933046.721
6021,Mansfieldstown,GLYDE,GLYDE,NEAGH BANN RBD,Glyde,06,06_10,Glyde_SC_030,100.35,321.0,0.31,False,False,False,,,,,,,53.89660361,-6.444490556,Level & Flow,321.00 km²,,,,,,,,,,,,,,,,,,,,100354153.19000001
6011,Moyles Mill,FANE,FANE,NEAGH BANN RBD,FANE,06,06_13,FANE_SC_020,162.49,230.0,0.71,True,False,False,,,,,,,54.01157444,-6.596077222,Level & Flow,230.00 km²,,,,,,,,,,,,,,,,,,,,162494223.066
