station_id,station_name,river,rbd,latitude,longitude,status,usable_for_study,file_format,record_start,record_end,record_span_days,total_rows,sentinel_era_start,sentinel_era_end,sentinel_era_span_days,sentinel_era_rows,sentinel_era_interval_minutes,sentinel_era_completeness_pct,sentinel_era_quality_ok_pct,sentinel_era_max_gap_days,sentinel_era_n_missing_values,quality_code_top5,n_bad_timestamps,declared_rows,parameter,ts_shortname,unit,error,file
10051,,,,,,ok,False,plain_csv,2021-11-16T12:15:00+00:00,2026-08-09T23:30:00+00:00,1727,165838,2021-11-16T12:15:00+00:00,2026-08-09T23:30:00+00:00,1727,165838,15.0,96.04,12.28,60.95,6567,31:134662; 254:20368; -1:6567; 151:4241,0,,,,,,wl_10051.csv
10062,,,,,,ok,False,plain_csv,2021-10-06T00:00:00+00:00,2026-08-09T23:30:00+00:00,1768,169823,2021-10-06T00:00:00+00:00,2026-08-09T23:30:00+00:00,1768,169823,15.0,76.6,5.45,4.56,39731,31:160112; 254:9262; -1:449,0,,,,,,wl_10062.csv
11001,,,,,,ok,True,plain_csv,1972-03-13T16:00:00+00:00,2026-08-09T23:30:00+00:00,19872,1907743,2017-01-01T00:00:00+00:00,2026-08-09T23:30:00+00:00,3507,336767,15.0,98.93,1.7,13.4,3592,31:1770661; 32:59243; -1:56873; 42:8245; 254:5837,0,,,,,,wl_11001.csv
12001,,,,,,ok,True,plain_csv,1955-09-05T04:00:00+00:00,2026-08-09T23:30:00+00:00,25906,2487055,2017-01-01T00:00:00+00:00,2026-08-09T23:30:00+00:00,3507,336767,15.0,99.01,0.78,7.95,3324,31:2313482; 32:71417; -1:64188; 101:27453; 33:6872,0,,,,,,wl_12001.csv
12002,,,,,,ok,True,plain_csv,2006-04-10T12:45:00+00:00,2026-08-09T23:30:00+00:00,7426,712940,2017-01-01T00:00:00+00:00,2026-08-09T23:30:00+00:00,3507,336767,15.0,98.85,2.58,20.55,3872,31:613062; 254:63290; -1:27166; 41:7286; 101:2068,0,,,,,,wl_12002.csv
12005,,,,,,ok,False,plain_csv,2002-10-04T13:30:00+00:00,2026-08-09T23:30:00+00:00,8710,836201,2017-01-01T00:00:00+00:00,2026-08-09T23:30:00+00:00,3507,336767,15.0,90.82,2.18,321.0,30912,31:770899; -1:54409; 254:7432; 32:3461,0,,,,,,wl_12005.csv
12007,,,,,,ok,True,plain_csv,2003-04-15T13:15:00+00:00,2026-08-09T23:30:00+00:00,8517,817674,2017-01-01T00:00:00+00:00,2026-08-09T23:30:00+00:00,3507,336767,15.0,98.93,2.15,4.25,3592,31:635790; -1:109997; 32:27664; 254:27254; 101:12711,0,,,,,,wl_12007.csv
12008,,,,,,ok,False,plain_csv,2003-02-18T14:15:00+00:00,2026-08-09T23:30:00+00:00,8573,823046,2017-01-01T00:00:00+00:00,2026-08-09T23:30:00+00:00,3507,336767,15.0,83.22,2.58,102.04,56494,31:671498; -1:95951; 101:20676; 99:20214; 254:9228,0,,,,,,wl_12008.csv
12009,,,,,,ok,True,plain_csv,2003-02-18T14:15:00+00:00,2026-08-09T23:30:00+00:00,8573,823046,2017-01-01T00:00:00+00:00,2026-08-09T23:30:00+00:00,3507,336767,15.0,84.99,2.58,2.15,50538,31:639123; -1:114477; 101:46653; 32:14113; 254:8680,0,,,,,,wl_12009.csv
12043,,,,,,ok,False,plain_csv,2024-04-12T13:00:00+00:00,2026-08-09T23:30:00+00:00,849,81547,2024-04-12T13:00:00+00:00,2026-08-09T23:30:00+00:00,849,81547,15.0,99.99,10.64,0.03,12,31:72858; 254:8677; -1:12,0,,,,,,wl_12043.csv
