#Status,Station No.,Station,Water Body,Catchment,River Basin District,Catchment Area,Latitude,Longitude
Level & Flow,32060,Aasleagh Br,ERRIFF,ERRIFF,WESTERN RBD,166.32 km²,53.61774917,-9.671156667
Level & Flow,23048,Abbeydorney D/S,BRICK,FEALE,SHANNON RBD,8.37 km²,52.34722,-9.68818
Level & Flow,25003,Abington,MULKEAR,Shannon,SHANNON RBD,397.00 km²,52.63186778,-8.421220833
Level & Historic Flow,06026,Aclint,LAGAN (GLYDE),GLYDE,NEAGH BANN RBD,144.00 km²,53.92476528,-6.640019444
Level,24009,Adare Manor,MAIGUE,SHANNON ESTUARY,SHANNON RBD,839.72 km²,52.56441306,-8.7773675
Level,24062,Adare Quay,MAIGUE ESTUARY,SHANNON ESTUARY,SHANNON RBD,0.00 km²,52.56886722,-8.798123333
Level & Flow,29010,Aggard Br,AGGARD,Kilcogan,WESTERN RBD,45.00 km²,53.22081722,-8.743236389
Level & Flow,36022,Aghacashlaun,AGHACASHLAUN,ERNE,NORTH WESTERN RBD,27.00 km²,54.04731722,-7.926414167
Level & Flow,39009,Aghawoney,LEANNAN,LEANNAN,NORTH WESTERN RBD,207.00 km²,55.04378556,-7.720692778
Level & Historic Flow,18113,Ahane Br,OWENTARAGLIN,BLACKWATER [MUNSTER],SOUTH WESTERN RBD,76.82 km²,52.09607583,-9.132805278
Level & Flow,26140,Ahascragh Pump Hse,BUNOWEN,SHANNON,SHANNON RBD,100.35 km²,53.39263583,-8.3310025
Level,09369,Anglesea Road,Dodder,LIFFEY,EASTERN RBD,106.22 km²,53.327878,-6.230943
Level,30089,Angligham,L     CORRIB,CORRIB,WESTERN RBD,0.00 km²,53.31790861,-9.066215556
Level & Flow,36015,Anlore,FINN,FINN,NORTH WESTERN RBD,98.27 km²,54.177075,-7.177330833
Level & Flow,25001,Annacotty,MULKEAR,SHANNON,SHANNON RBD,646.00 km²,52.66927583,-8.529146944
Level,30083,Annaghdown Pier,L.    CORRIB,CORRIB,WESTERN RBD,0.00 km²,53.38703222,-9.076388333
Level & Flow,15001,Annamult,KINGS,NORE,SOUTH EASTERN RBD,443.00 km²,52.54845833,-7.199625
Level & Flow,16010,Anner,ANNER,SUIR,SOUTH EASTERN RBD,422.00 km²,52.381991,-7.62831999
Level & Historic Flow,18108,Araglin Br,ARAGLIN,BLACKWATER [MUNSTER],SOUTH WESTERN RBD,125.50 km²,52.16689528,-8.220864444
Level,15105,Archers Grove,NORE,SUIR,SOUTH EASTERN RBD,1689.00 km²,52.64154139,-7.217500556
Level & Historic Flow,20015,Ardcahan Br,BANDON,BANDON,SOUTH WESTERN RBD,97.08 km²,51.74913611,-9.097986667
Level,16155,Ardfinnan,SUIR,SUIR,SOUTH EASTERN RBD,1677.93 km²,52.309754,-7.878913
Level & Historic Flow,26020,Argar,CAMLIN,SHANNON ESTUARY,SHANNON RBD,122.44 km²,53.76379167,-7.726045833
Level & Flow,36018,Ashfield,DROMORE,ERNE,NORTH WESTERN RBD,233.00 km²,54.07216528,-7.121145556
Level,12063,Assaly,ASSALY ESTY,ASSALY ESTUARY,SOUTH EASTERN RBD,39.80 km²,52.27905389,-6.43554
Level,23051,Athea D/S,GALEY,FEALE,SHANNON RBD,36.30 km²,52.461378,-9.286944
Level & Flow,23052,Athea U/S,GALEY,FEALE,SHANNON RBD,36.30 km²,52.460679,-9.286718
Level & Flow,24005,Athlacca,MORNINGSTAR,MAIGUE,SHANNON RBD,131.95 km²,52.45876611,-8.651165833
Level & Flow,26027,Athlone,SHANNON,SHANNON,SHANNON RBD,4600.65 km²,53.42153389,-7.940756389
Level,26333,Athlone Weir U/S,SHANNON,SHANNON,SHANNON RBD,4703.00 km²,53.42289111,-7.9417775
